Label,precision,recall,f1-score,support
BENIGN,0.9943910256410257,0.9928,0.9935948759007206,5000.0
Bot,0.966,0.9917864476386037,0.9787234042553191,487.0
DDoS,0.9997998799279568,0.9992,0.9994998499549865,5000.0
DoS GoldenEye,0.9988340458608628,0.999611046285492,0.9992223950233281,2571.0
DoS Hulk,0.9985997199439888,0.9984,0.9984998499849985,5000.0
DoS Slowhttptest,0.9976869699306091,0.990053557765876,0.9938556067588326,1307.0
DoS slowloris,0.994034302759135,0.992553983618764,0.9932935916542474,1343.0
FTP-Patator,1.0,1.0,1.0,1483.0
Heartbleed,1.0,1.0,1.0,3.0
Infiltration,1.0,0.6666666666666666,0.8,9.0
PortScan,0.999000199960008,0.9992,0.9991000899910009,5000.0
SSH-Patator,0.9975216852540273,1.0,0.9987593052109182,805.0
Web Attack - Brute Force,0.717741935483871,0.7275204359673024,0.7225981055480379,367.0
Web Attack - Sql Injection,1.0,0.2,0.3333333333333333,5.0
Web Attack - XSS,0.38596491228070173,0.4049079754601227,0.39520958083832336,163.0
